98N0096,-145.84924
98N0089,-128.10982
98N0090,-125.1619
98N0091,-76.39666
98N0095,-140.38936
98N0097,-122.73298
98N0104,-122.9302
98N0106,-134.21326
98N0100,-110.17318
98N0111,-130.63216
98N0135,-124.47682
98N0144,-130.6633
98N0146,-122.81602
98N0155,-112.85122
98N0157,-121.3213
98N0158,-128.5354
98N0159,-140.43088
98N0160,-132.6355
98N0161,-111.4603
98N0162,-119.58784
96N2029,-161.09746
96N2030,-151.70356
96N2031,-152.39902
96N2033,-129.63568
96N2034,-108.61618
96N2035,-126.06496
96N2036,-156.91432
96N2038,-148.12246
96N2039,-153.89374
96N2040,-144.51022
96N2041,-148.21588
97N2004,-162.76864
97N2005,-134.4001
97N2006,-151.3714
97N2007,-145.28872
97N2008,-143.6383
97N2009,-146.36824
97N2010,-165.62314
97N2037,-102.91756
97N2011,-149.35768
97N2013,-149.46148
97N2014,-134.1925
97N2015,-154.47502
97N2016,-119.00656
97N2017,-144.06388
97N2018,-136.9951
97N2019,-142.8598
97N2020,-143.36842
97N2021,-136.95358
97N2022,-132.38638
97N2023,-193.49344
97N2024,-114.81304
97N2025,-140.60734
97N2026,-164.06614
97N2027,-143.66944
97N2029,-140.30632
97N2030,-133.50742
97N2034,-130.59064
97N2035,-137.28574
97N2036,-119.52556
97N2408,-89.42356
97N2432,-81.79426
97N2449,-77.17516
97N2456,-68.51824
97N2473,-75.1822
97N2478,-74.82928
97N7012,-149.10856
97N7010,-118.85086
98N1145,-146.03608
98N0024,-112.73704
98N0026,-116.52574
98N0027,-98.45416
98N0028,-109.93444
98N0029,-118.60174
98N0031,-136.08166
98N0032,-119.93038
98N0033,-126.24142
98N0034,-137.2027
98N0035,-131.6494
98N0037,-122.38006
98N0038,-120.76078
98N0039,-118.37338
98N0051,-131.89852
98N0054,-92.86972
98N0056,-128.4835
98N0067,-106.2703
98N0075,
98N0077,-135.87406
98N0081,-115.17634
98N0001,-118.03084
98N0005,-111.69904
98N0009,-155.59606
98N0015,-133.18564
98N0016,-110.55724
